Catalyst,x,y,z,ddG (% ee)
11_2_6,-4.800569758,-0.498889888,4.332419664,0
11_3_1,3.664542543,-0.241883174,-40.88464794,0.117655841
11_3_2,3.566751234,-0.446784279,-40.83711443,0.110482409
11_3_3,3.729423337,-0.145097303,-40.93162466,0
11_3_4,3.615266248,-0.308179084,-40.84735068,0.071158472
11_3_5,3.502740928,-0.572726763,-40.93247024,0
11_3_6,3.947726835,0.053141706,-40.98684874,0
11_4_1,-5.907582296,-4.035938145,4.903483382,0
11_4_2,-5.830997027,-4.013272208,4.666504715,0
11_4_3,-5.947774274,-4.062394165,5.000560162,0
11_4_4,-5.854049307,-4.012304833,4.821005771,0
11_4_5,-5.915054982,-4.05708306,4.719898924,0
11_4_6,-6.124296405,-4.19859551,5.052611628,0
11_5_1,-6.347617395,-10.35664426,-30.14198909,0
11_5_2,-6.407129089,-10.526942,-29.9766799,0
11_5_3,-6.422573384,-10.58170654,-30.22050445,0
11_5_4,-6.461694308,-10.57923276,-30.01759313,0
11_5_5,-6.391526766,-10.55740756,-30.09049023,0
11_5_6,-6.555065161,-11.08893706,-30.30720425,0
11_6_1,-13.61714417,-20.65020754,-3.886155565,0.297500521
11_6_2,-13.49353751,-20.56658397,-4.069678574,0.611828963
11_6_3,-13.67970039,-20.72456036,-3.832544111,0
11_6_4,-13.56755834,-20.58522574,-3.888985729,0
11_6_5,-13.5435541,-20.65728424,-4.140715161,0
11_6_6,-13.68501311,-20.93455484,-4.31529984,0
11_7_1,-10.74856622,-12.18239468,0.176668263,0.482219793
11_7_2,-10.61437684,-12.07089657,0.000397427,0
11_7_3,-10.83387269,-12.26557711,0.25996546,0
11_7_4,-10.67555036,-12.11378274,0.133546064,1.070246274
11_7_5,-10.71251154,-12.1634835,0.004951173,0
11_7_6,-10.97568014,-12.45538276,0.103239715,0
11_8_1,-8.065715948,-7.072009589,3.342428576,0
11_8_2,-7.969021291,-7.02584285,3.135124695,0
11_8_3,-8.145176098,-7.128514748,3.450381591,0
11_8_4,-8.003120675,-7.032708731,3.278161899,0
11_8_5,-8.071419715,-7.093823126,3.169543153,0
11_8_6,-8.304323566,-7.278938675,3.345799548,0
11_9_1,-20.1801591,-35.92793294,-6.012548702,0
11_9_2,-20.05579054,-35.95364256,-6.113589702,0
11_9_3,-20.18197425,-36.00581113,-5.925085093,0
11_9_4,-20.13770856,-35.91200104,-5.927909946,0
11_9_5,-20.09362979,-35.99791372,-6.277726418,0
11_9_6,-20.10923677,-36.22420618,-6.493758512,0
12_1_1,-63.95296362,-38.08872414,-33.99348044,1.541190033
12_1_2,-63.8084899,-37.92315093,-34.30283539,1.105211867
12_1_4,-63.88763414,-38.07585897,-34.06782281,0
12_1_5,-63.92650852,-38.17438646,-33.7821858,0
12_1_6,-64.46540712,-38.92182302,-32.09599418,0
12_10_1,-24.05819493,2.875784295,61.28125012,0
12_10_2,-24.1143616,2.952511631,61.18578565,0
12_10_3,-23.97929239,2.92743496,61.32786491,0
12_10_4,-24.10970632,2.934177917,61.22433172,0.193602755
12_10_5,-24.39126701,2.581941197,61.12683454,0
12_10_6,-24.33864754,2.589002209,61.28373556,0
12_11_1,-52.52356768,-31.57272003,16.15149839,0.90615519
12_11_2,-50.26813497,-30.2265127,23.79593234,0.392852583
12_11_3,-51.43171034,-30.73408801,20.55805497,0
12_11_4,-52.71666964,-31.90492124,14.79984567,0
12_11_5,-51.89861679,-30.99559377,18.85509947,0
12_11_6,-52.15489726,-31.17970644,18.37159514,0
12_2_1,-35.87962202,-11.51642429,35.50551884,0.252512119
12_2_2,-35.88666592,-11.55265112,35.39188926,0.575637884
12_2_4,-35.97130275,-11.56790218,35.34077512,0.468362571
12_2_5,-35.8604228,-11.52061861,35.44927473,0
12_2_6,-35.80678972,-11.49871768,35.78099465,0
12_3_1,-46.26528972,-13.56823004,58.89662697,0.015400018
12_3_2,-38.62444845,-1.817061403,64.92291783,0.062840033
12_3_3,-58.20863068,-24.62329691,-46.42188138,0
12_3_4,-59.37109168,-29.35260952,-42.01441317,0.009476602
12_3_5,-46.92633184,-14.61896588,58.13713491,0
12_3_6,-65.08350926,-35.93772556,-24.53915703,0
12_4_1,-36.77372255,-15.02125671,31.28358192,0
12_4_2,-36.89038938,-15.14599923,30.95468699,0
12_4_3,-36.75241823,-15.01561122,31.35748337,0
12_4_4,-36.8449624,-15.03443911,31.12435809,0
12_4_5,-36.86926172,-15.16065966,31.02698498,0
12_4_6,-36.88652756,-15.22544167,31.2173939,0
12_5_1,-64.36272841,-37.34673272,-21.77215983,0
12_5_2,-47.90708439,-17.53401208,55.90292155,0
12_5_3,-66.11080935,-39.50934132,5.168465089,0
12_5_4,-60.42590026,-34.28553742,32.67543701,0
12_5_5,-64.35487809,-37.12558524,-22.32052169,0
12_5_6,-52.25801489,-23.62040527,50.15137183,0
12_6_1,-48.90258972,-35.02682045,19.12871985,0.317760997
12_6_2,-49.70064345,-35.4544409,15.97698657,0.702355856
12_6_3,-48.66015232,-34.77937505,20.23022237,0
12_6_4,-49.40836482,-35.35568469,17.10395734,0.141632546
12_6_5,-49.23301556,-35.29015792,17.75702117,0
12_6_6,-49.13915135,-35.28148072,18.42084091,0
12_7_1,-43.76046092,-27.82936563,23.01599713,0.446440194
12_7_2,-43.6026013,-27.70356623,23.29315522,1.241324625
12_7_3,-43.7951526,-27.87375029,23.0089769,0
12_7_4,-43.75592807,-27.8347407,22.93234521,1.032018945
12_7_5,-43.48512835,-27.6064444,23.72254755,0
12_7_6,-43.65424481,-27.84089374,23.44630671,0
12_8_1,-39.48501119,-19.57024213,28.17814677,0
12_8_2,-39.49271939,-19.60330335,27.96362532,0
12_8_3,-39.61035216,-19.63996363,28.05593524,0
12_8_4,-39.56832854,-19.58153465,27.97021552,0
12_8_5,-39.50269837,-19.66850367,27.99402116,0
12_8_6,-39.73696771,-19.80946509,27.78940953,0
12_9_1,-64.08030466,-56.81411489,8.061148661,0
12_9_2,-64.01339229,-56.53782677,9.703713732,0
12_9_3,-63.89403274,-56.54727516,10.89214315,0
12_9_4,-64.04510147,-56.77725641,8.31353806,0
12_9_5,-63.93434836,-56.77882495,9.24053847,0
12_9_6,-63.7467146,-57.04520705,9.554769345,0
13_1_1,-81.38342475,9.067022312,0.060075744,0
13_1_2,-81.25617759,9.30528205,2.734855108,0.649102245
13_1_4,-77.66994199,2.132681608,-26.40976243,0
13_1_5,-77.73371959,2.109041106,-26.16162827,0
13_1_6,-80.82438405,6.98895479,-11.59702358,0
13_10_1,-48.3463846,27.84015425,53.93240306,0.187525382
13_10_2,-51.21873959,26.11772714,52.20498337,0
13_10_3,-48.50016303,27.7315961,53.89660839,0
13_10_4,-48.68710019,27.57547822,53.74597739,0.092582964
13_10_5,-50.68913937,26.40312454,52.58665445,0
13_10_6,-49.10083749,27.34448967,53.64683353,0
13_11_1,-69.99882825,6.022241181,-3.437990248,0
13_11_2,-68.20623155,7.26558769,14.87357741,0
13_11_3,-70.02062875,5.810388998,-4.032416598,0
13_11_4,-69.98802813,5.294826109,-5.138536427,0
13_11_5,-68.67712296,7.265542073,12.60973239,0
13_11_6,-68.69731555,7.199199491,13.24442539,0
13_2_1,-56.69171734,15.81183319,17.37591743,0.147644053
13_2_2,-57.06454863,15.5724776,16.20579075,0.259957222
13_2_4,-57.09495896,15.5906317,16.15676601,0
13_2_5,-57.2020668,15.52799887,15.84049618,0
13_2_6,-57.41516417,15.53173725,15.63340693,0
13_3_1,-71.63989291,19.07312721,-24.79401967,0.02843466
13_3_2,-74.59328023,20.13163784,10.04818489,0.068781096
13_3_3,-71.96136071,11.02123142,-29.61520394,0
13_3_4,-75.80908947,18.12245074,-4.121115555,0.02843466
13_3_5,-71.72735109,10.63310151,-30.33488453,0
13_3_6,-71.6385951,10.73633737,-30.74561589,0
13_4_1,-57.70178263,13.4393307,22.15039649,0
13_4_2,-57.58992573,13.44442406,22.2459517,0
13_4_3,-57.57120176,13.49945769,22.52201743,0
13_4_4,-57.83037139,13.35745982,21.77271211,0
