21_7_4,13.8,61.8,0.61,0.854964059
21_7_2,3.9,79.8,0.6,1.294809405
1_1_1,4.9,77.6,0.6,1.22628932
22_1_4,7.7,72.4,0.6,1.085048739
12_7_4,8.7,70.2,0.6,1.032018945
3_11_1,10.1,66.6,0.6,0.951809515
9_2_4,11.5,64.9,0.6,0.916331218
13_7_1,35.7,15.6,0.6,0.186311091
10_1_1,8,70.6,0.59,1.041413101
14_1_2,9.4,67.3,0.59,0.966837724
22_1_2,16.4,52.6,0.59,0.69248668
27_1_1,4.4,75.5,0.58,1.166169293
9_1_4,6.9,70.1,0.58,1.029686682
11_7_4,5.3,71.8,0.57,1.070246274
18_2_2,16.6,50.2,0.57,0.653843618
9_1_2,17.8,48,0.57,0.619501026
2_3_1,27.5,27.5,0.57,0.334356889
6_7_1,37.9,5.2,0.56,0.061652209
18_7_2,4.3,72.2,0.55,1.080084874
22_4_4,6.8,66,0.55,0.939127388
12_11_1,7.3,64.4,0.54,0.90615519
1_7_1,38.2,1.7,0.54,0.02013929
9_4_1,5.6,64.7,0.52,0.912247229
24_7_4,8.3,58.9,0.52,0.800913909
18_11_1,10,55.5,0.52,0.741028741
15_2_2,13,49,0.52,0.634990272
8_11_1,6.2,62.1,0.51,0.860730939
9_11_1,7.1,60.3,0.51,0.826635773
20_7_4,9.9,55.1,0.51,0.734203206
4_7_2,14,45.8,0.51,0.586088635
1_3_1,24.9,24.9,0.51,0.301286063
4_11_4,8.7,56,0.5,0.749622551
2_11_1,9.2,55,0.5,0.732503585
9_2_1,21.4,29.6,0.5,0.361441458
22_7_1,24.7,23.5,0.5,0.283670357
18_2_4,10.1,51,0.49,0.666581548
8_1_2,10.2,50.6,0.49,0.660195256
10_1_2,11.2,49.2,0.49,0.638111952
7_1_2,11.9,48.1,0.49,0.621041164
11_2_2,13.4,45,0.49,0.574151715
12_6_2,8.2,53.2,0.48,0.702355856
13_1_2,10.2,49.9,0.48,0.649102245
16_7_1,11,47.6,0.48,0.613359588
